,Site_Id,Site_Location,Date,Time,Ws_hourly_avg,Wd_hourly_avg,Amb_temp_hourly_avg,Humidity_hourly_avg,So2_hourly_avg,No2_hourly_avg,O3_hourly_avg,Co_hourly_avg,Pm10_hourly_avg,API_Main
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,0100,5.0   ,23    ,26.4  ,N/A  ,0.005   ,0.026   ,0.007   ,1.17    ,70      ,7     
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,0200,3.7   ,31    ,26.2  ,N/A  ,0.005   ,0.026   ,0.008   ,1.02    ,45      ,8     
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,0300,4.2   ,46    ,25.8  ,N/A  ,0.017   ,0.020   ,0.011   ,0.89    ,59      ,11    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,0400,5.0   ,47    ,25.6  ,N/A  ,0.004   ,0.013   ,0.015   ,0.69    ,44      ,15    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,0500,3.3   ,23    ,25.3  ,N/A  ,0.003   ,0.011   ,0.014   ,0.65    ,38      ,14    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,0600,3.0   ,10    ,24.9  ,N/A  ,0.003   ,0.007   ,0.015   ,0.63    ,31      ,15    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,0700,4.6   ,22    ,24.9  ,N/A  ,0.005   ,0.015   ,0.008   ,0.91    ,49      ,10    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,0800,6.8   ,26    ,24.6  ,N/A  ,0.013   ,0.019   ,0.008   ,1.74    ,88      ,10    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,0900,6.9   ,26    ,25.4  ,N/A  ,0.006   ,0.021   ,0.010   ,CAL     ,76      ,11    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,1000,7.0   ,21    ,26.8  ,N/A  ,CAL     ,0.017   ,0.020   ,1.42    ,69      ,20    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,1100,8.2   ,9     ,28.1  ,N/A  ,0.003   ,CAL     ,0.039   ,0.77    ,37      ,39    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,1200,10.7  ,0     ,29.5  ,N/A  ,0.004   ,0.010   ,CAL     ,0.77    ,30      ,53    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,1300,15.5  ,326   ,30.0  ,N/A  ,0.005   ,0.004   ,0.047   ,0.46    ,12      ,52    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,1400,16.1  ,320   ,30.0  ,N/A  ,0.015   ,0.004   ,0.044   ,0.44    ,27      ,50    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,1500,17.8  ,313   ,30.0  ,N/A  ,0.017   ,0.004   ,0.043   ,0.41    ,6       ,49    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,1600,17.4  ,318   ,30.3  ,N/A  ,0.019   ,0.004   ,0.040   ,0.42    ,20      ,46    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,1700,15.6  ,319   ,30.6  ,N/A  ,0.033   ,0.007   ,0.032   ,0.44    ,26      ,45    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,1800,12.2  ,318   ,29.7  ,N/A  ,0.049   ,0.015   ,0.031   ,0.60    ,26      ,44    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,1900,8.7   ,278   ,29.6  ,N/A  ,0.040   ,0.017   ,0.025   ,0.63    ,30      ,43    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,2000,6.0   ,283   ,29.1  ,N/A  ,0.017   ,0.012   ,0.029   ,0.62    ,23      ,42    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,2100,4.9   ,108   ,28.7  ,N/A  ,0.022   ,0.027   ,0.017   ,1.13    ,30      ,41    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,2200,10.3  ,49    ,25.6  ,N/A  ,0.023   ,0.019   ,0.019   ,0.80    ,46      ,41    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,2300,8.9   ,357   ,24.9  ,N/A  ,0.026   ,0.020   ,0.019   ,0.68    ,18      ,41    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951201,2400,10.2  ,3     ,N/A   ,N/A  ,0.003   ,0.008   ,0.028   ,0.52    ,8       ,40    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951202,0100,5.4   ,10    ,N/A   ,N/A  ,0.004   ,0.009   ,0.024   ,0.52    ,N/A     ,38    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951202,0200,5.9   ,1     ,N/A   ,N/A  ,0.005   ,0.007   ,0.028   ,0.42    ,N/A     ,35    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951202,0300,5.4   ,50    ,N/A   ,N/A  ,0.006   ,0.012   ,0.021   ,0.45    ,29      ,35    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951202,0400,7.0   ,53    ,N/A   ,N/A  ,0.008   ,0.007   ,0.023   ,0.43    ,9       ,34    
,CA0003,"Sek. Keb. Cederawasih, Taman Inderawasih, Perai",19951202,0500,6.2   ,54    ,N/A   ,N/A  ,0.033   ,0.010   ,0.020   ,0.39    ,18      ,34    
